Keyword,Number of tweets,%
keinimpfpass,27,0.0%
keineimpfungohnerisikoanalyse,401,0.0%
impfopfern,1651,0.1%
lassteuchimpfenfürnormalität,4,0.0%
impfdichinsknie,1646,0.1%
impfstoppsofort,44,0.0%
impfzwangspolitiker,3,0.0%
impfteuchdochselbst,606,0.0%
pandemiedergeimpften,14311,0.8%
impftaliban,821,0.0%
impffetischismus,73,0.0%
behandelnstattimpfen,39,0.0%
freigeimpft,321,0.0%
impfstoffdesaster,2596,0.2%
impfstaat,802,0.0%
impfskandal,7110,0.4%
impfluegen,999,0.1%
ungecimpftehersteller,4,0.0%
bratwurstimpflinge,36,0.0%
impfchaos,19248,1.1%
impfpflichtneindanke,4064,0.2%
bjoernbananeistgeimpft,2555,0.1%
desimpformation,48,0.0%
impfnationalismus,9361,0.5%
impfungforever,6,0.0%
zwangsimpfungen,24633,1.4%
gegenimpfzwang,521,0.0%
impfpflichtohnemich,41,0.0%
stopdieimpfung,29,0.0%
totimpfenmussaufhoeren,35,0.0%
c19impfstopp,2,0.0%
keinezwangsimpfung,45,0.0%
zwangsimpfungneindanke,7,0.0%
impfstoffnationalismus,2877,0.2%
mitarbeiterinnencimpfen,3,0.0%
impfenzwang,6,0.0%
impfscharia,345,0.0%
impfenneindanke,250,0.0%
stopptdieimpfpflicht,3,0.0%
impfpflichtdurchdiehintertuer,1376,0.1%
gegenzwangsimpfung,54,0.0%
impfenschuetztnicht,595,0.0%
impfmafia,2709,0.2%
impffaschos,436,0.0%
ichlassemeinkindnichtimpfen,532,0.0%
neinzumimpfzwang,760,0.0%
grundrechteimpfen,2,0.0%
impfstoffewirkungslosundgefährlich,8,0.0%
keineimpfpflicht,3025,0.2%
todimpfen,105,0.0%
wolltihrdietotaleimpfung,11,0.0%
impfholocaust,153,0.0%
stoppimpfpflicht,291,0.0%
impfenkanntoeten,40,0.0%
impfnazi,1812,0.1%
impfzwangdurchdiehintertür,550,0.0%
neinzurkinderimpfung,39,0.0%
jagdaufungeimpfte,74,0.0%
bratwurstimpfen,879,0.1%
neinzurimpfplicht,657,0.0%
freieimpfentscheidung,2529,0.1%
klarekantegegenimpfpflicht,6,0.0%
impfrisiko,9644,0.6%
impffreiheiten,545,0.0%
impfgeschädigten,3033,0.2%
cimpfenden,4,0.0%
hintertuerimpfpflicht,15,0.0%
neinzurimpflicht,85,0.0%
ichlassmichnichtimpfen,1379,0.1%
gemeinsamgegenimpfzwang,12,0.0%
impfungtötet,258,0.0%
impfboykott,1249,0.1%
impfstopp,26865,1.6%
gegendieimpfpflicht,164,0.0%
impflüge,2744,0.2%
impferpresser,168,0.0%
lassdichnichtimpfen,74,0.0%
impffaschist,566,0.0%
impfpflichtnicht,3,0.0%
impfverboten,8,0.0%
impfirrsinn,544,0.0%
ungeimpftungetestetkerngesund,6,0.0%
impferfolg,11464,0.7%
hintertuerimpfzwang,9,0.0%
impftodverweigerer,5,0.0%
freierimpfentscheid,14,0.0%
stoppimpfzwang,167,0.0%
impfentoetet,784,0.0%
bigpharmatyranny,35,0.0%
pharmafaschismus,423,0.0%
pharmaindustrie,134301,7.8%
großpharmalobbyist,2,0.0%
pharmawahn,17,0.0%
pharmalobbyist,12386,0.7%
pharmafirmen,14091,0.8%
pharmalobbyisten,7690,0.4%
pharmamafia,39814,2.3%
tyranneiderpharmakonzerne,27,0.0%
pharmafia,1482,0.1%
pfizerleak,1499,0.1%
pfizerpfusch,2259,0.1%
mrnagentherapie,18,0.0%
impfung-wirkungslos,1956,0.1%
impf-illusionen,116,0.0%
impfschaden-spiel,5,0.0%
impfapartheid-shetzer,7,0.0%
tyranneiderungeimpften-these,6,0.0%
impfpflicht-taliban,3,0.0%
impftod-prophet,2,0.0%
mdna-impfung,4,0.0%
impfung-experiment,428,0.0%
impfstoff-desaster,3765,0.2%
impf-flatrate,80,0.0%
anthro-impfling,6,0.0%
impfcharge,150,0.0%
pharmageddon,844,0.0%
großpharma,162,0.0%
pharma-overlords,21,0.0%
biontech-fälschung,64,0.0%
pfizer-impfstoffs,2281,0.1%
pfizer-drecksbande,4,0.0%
astrazeneca-opfer,51,0.0%
